--- Outlier Details ---

Outliers in AnnualSalary:
------------------------------------------------------------------
Index      EmployeeNumber  Value          
2581       2582            333772.8       
2600       2601            338848.0       
2639       2640            335977.6       
2655       2656            338910.4       
2664       2665            333960.0       
2676       2677            336580.8       
2683       2684            330673.6       
2722       2723            333772.8       
2726       2727            336248.0       
2735       2736            330964.8       
2736       2737            336435.2       
2746       2747            334625.6       
2754       2755            339430.4       
2756       2757            332982.4       
2784       2785            334563.2       
2794       2795            330028.8       
2878       2879            338307.2       
2900       2901            336851.2       
2904       2905            330881.6       
2999       3000            334625.6       
3000       3001            333523.2       
3007       3008            330528.0       
3021       3022            331276.8       
3041       3042            335977.6       
3099       3100            332961.6       
3110       3111            336268.8       
3140       3141            337537.6       
3147       3148            338286.4       
3172       3173            333342.4       
3178       3179            331734.4       
3185       3186            333330.4       
3228       3229            337808.0       
3260       3261            336033.2       
3276       3277            333003.2       
3281       3282            334064.0       
3285       3286            337620.8       
3296       3297            334604.8       
3308       3309            339160.0       
3320       3321            336164.8       
3336       3337            331214.4       
3344       3345            337059.2       
3352       3353            335287.2       
3360       3361            339222.4       
3366       3367            332420.8       
3416       3417            331630.4       
3422       3423            330528.0       
3446       3447            338224.0       
3464       3465            335395.2       
3466       3467            334417.6       
3498       3499            335561.6       
3513       3514            336705.6       
3521       3522            334251.2       
3542       3543            330860.8       
3554       3555            335249.6       
3564       3565            332025.6       
3651       3652            331568.0       
3687       3688            330112.0       
3700       3701            338910.4       
3726       3727            333710.4       
3739       3740            333648.0       
3743       3744            333440.0       
3749       3750            334708.8       
3795       3796            330985.6       
3807       3808            337516.8       
3897       3898            338952.0       
3927       3928            336285.6       
3975       3976            336913.6       
3983       3984            333148.8       
3985       3986            337163.2       
4005       4006            337329.6       
4033       4034            332608.0       
4067       4068            338744.0       
4124       4125            333897.6       
4143       4144            333793.6       
4174       4175            337516.8       
4190       4191            333232.0       
4237       4238            336123.2       
4239       4240            336809.6       
4242       4243            339305.6       
4244       4245            335249.6       
4252       4253            332420.8       
4260       4261            334126.4       
4276       4277            338452.8       
4294       4295            339929.6       
4298       4299            339014.4       
4300       4301            330112.0       
4303       4304            336622.4       
4319       4320            330424.0       
4330       4331            331755.2       
4331       4332            336643.2       
4357       4358            289820.8       
4376       4377            330590.4       
4421       4422            333330.4       
4428       4429            333668.8       
4436       4437            335956.8       
4466       4467            334916.8       
4476       4477            332899.2       
4483       4484            337516.8       
4498       4499            330465.6       
4520       4521            334854.4       
4532       4533            337350.4       
4553       4554            330403.2       
4591       4592            331068.8       
4592       4593            334105.6       
4600       4601            330798.4       
4658       4659            330548.8       
4695       4696            337371.2       
4704       4705            337371.2       
4732       4733            334729.6       
4750       4751            333044.8       
4780       4781            339513.6       
4788       4789            333086.4       
4822       4823            337808.0       
4833       4834            331068.8       
4834       4835            335332.8       
4863       4864            339888.0       
4892       4893            330278.4       
4941       4942            331630.4       
4998       4999            336809.6       
5005       5006            338140.8       
5017       5018            338328.0       
5055       5056            331333.6       
5060       5061            334896.0       
5069       5070            335208.0       
5072       5073            330153.6       
5111       5112            332857.6       
5117       5118            337724.8       
5150       5151            333731.2       
5160       5161            330299.2       
5163       5164            332046.4       
5169       5170            338494.4       
5174       5175            339763.2       
5191       5192            289820.8       
5203       5204            336892.8       
5211       5212            336976.0       
5224       5225            335249.6       
5247       5248            332067.2       
5252       5253            338681.6       
5322       5323            339784.0       
5352       5353            331692.8       
5388       5389            337308.8       
5426       5427            333398.4       
5441       5442            289966.4       
5481       5482            337225.6       
5537       5538            337308.8       
5570       5571            334105.6       
5573       5574            332524.8       
5581       5582            333356.8       
5585       5586            330507.2       
5602       5603            334542.4       
5605       5606            338057.6       
5626       5627            332420.8       
5654       5655            337620.8       
5667       5668            337891.2       
5675       5676            333606.4       
5684       5685            334958.4       
5693       5694            337017.6       
5713       5714            332332.0       
5757       5758            332670.4       
5765       5766            338702.4       
5775       5776            331796.8       
5795       5796            337953.6       
5814       5815            338744.0       
5823       5824            338598.4       
5876       5877            337412.8       
5884       5885            333148.8       
5888       5889            339280.8       
5910       5911            336726.4       
5918       5919            330236.8       
5926       5927            333752.0       
5940       5941            335478.4       
5947       5948            332608.0       
5975       5976            339908.8       
5980       5981            339097.6       
6020       6021            335915.2       
6074       6075            336705.6       
6078       6079            330424.0       
6096       6097            337308.8       
6120       6121            337870.4       
6127       6128            335561.6       
6149       6150            337870.4       
6156       6157            332753.6       
6221       6222            333294.4       
6232       6233            335228.8       
6234       6235            337225.6       
6243       6244            337475.2       
6267       6268            338744.0       
6284       6285            332774.4       
6319       6320            339035.2       
6360       6361            333363.2       
6362       6363            337849.6       
6376       6377            332732.8       
6426       6427            333752.0       
6439       6440            332379.2       
6462       6463            336285.6       
6464       6465            330403.2       
6484       6485            334500.8       
6490       6491            333897.6       
6496       6497            335790.4       
6498       6499            337932.8       
6544       6545            336809.6       
6563       6564            332441.6       
6567       6568            336285.6       
6569       6570            335353.6       
6573       6574            330008.0       
6575       6576            335790.4       
6599       6600            335104.0       
6600       6601            335104.0       
6608       6609            338827.2       
6623       6624            335104.0       
6626       6627            335665.6       
6634       6635            338494.4       
6663       6664            330444.8       
6731       6732            333897.6       
6732       6733            336622.4       
6753       6754            336248.0       
6783       6784            330299.2       
6796       6797            339472.0       
6798       6799            333752.0       
6828       6829            337600.0       
6832       6833            333232.0       
6858       6859            330278.4       
6875       6876            339534.4       
6883       6884            339409.6       
6886       6887            289820.8       
6894       6895            337766.4       
6903       6904            338369.6       
6904       6905            331068.8       
6906       6907            335540.8       
6916       6917            289820.8       
6917       6918            332025.6       
6926       6927            335624.0       
6936       6937            336352.0       
6944       6945            330694.4       
6954       6955            334854.4       
6961       6962            332545.6       
6971       6972            336331.2       
7003       7004            337558.4       
7011       7012            336033.2       
7030       7031            330361.6       
7085       7086            334833.6       
7101       7102            338848.0       
7122       7123            337100.8       
7134       7135            334500.8       
7160       7161            330528.0       
7168       7169            338785.6       
7174       7175            334313.6       
7182       7183            337828.8       
7200       7201            337284.0       
7234       7235            335228.8       
7238       7239            335374.4       
7252       7253            338282.4       
7260       7261            332004.8       
7266       7267            335644.8       
7298       7299            333835.2       
7324       7325            338827.2       
7338       7339            330236.8       
7344       7345            289904.0       
7362       7363            331131.2       
7364       7365            335540.8       
7390       7391            335249.6       
7419       7420            338099.2       
7428       7429            337516.8       
7432       7433            332379.2       
7459       7460            335748.8       
7514       7515            337558.4       
7532       7533            331328.4       
7549       7550            338016.0       
7558       7559            337641.6       
7575       7576            337516.8       
7597       7598            330860.8       
7667       7668            335894.4       
7694       7695            331152.0       
7709       7710            330902.4       
7710       7711            336747.2       
7748       7749            334584.0       
7799       7800            339280.8       
7835       7836            336331.2       
7847       7848            331755.2       
7903       7904            338282.4       
7909       7910            339513.6       
7922       7923            330382.4       
7930       7931            331651.2       
7938       7939            335166.4       
7955       7956            335790.4       
7991       7992            335790.4       
8026       8027            330486.4       
8037       8038            333148.8       
8082       8083            330652.8       
8099       8100            335478.4       
8146       8147            331713.6       
8166       8167            338120.0       
8175       8176            333321.6       
8204       8205            333731.2       
8226       8227            336976.0       
8257       8258            330736.0       
8278       8279            331110.4       
8321       8322            337142.4       
8362       8363            333044.8       
8370       8371            337662.4       
8374       8375            336528.4       
8376       8377            336102.4       
8378       8379            334480.0       
8428       8429            338140.8       
8486       8487            333294.4       
8487       8488            332880.0       
8494       8495            336285.6       
8526       8527            331526.4       
8585       8586            331172.8       
8587       8588            336310.4       
8650       8651            337912.0       
8691       8692            339284.8       
8707       8708            333564.8       
8756       8757            336081.6       
8766       8767            339243.2       
8787       8788            338286.4       
8794       8795            289966.4       
8811       8812            330403.2       
8821       8822            337246.4       
8838       8839            332816.0       
8841       8842            336040.0       
8854       8855            331776.0       
8863       8864            333564.8       
8864       8865            335769.6       
8866       8867            334313.6       
8870       8871            333128.0       
8893       8894            335561.6       
8919       8920            335478.4       
8946       8947            332774.4       
8955       8956            337974.4       
8956       8957            336081.6       
8987       8988            330112.0       
9023       9024            332795.2       
9030       9031            334542.4       
9033       9034            334729.6       
9036       9037            334459.2       
9072       9073            332441.6       
9089       9090            333710.4       
9092       9093            330736.0       
9093       9094            331443.2       
9101       9102            338099.2       
9114       9115            334043.2       
9165       9166            337995.2       
9180       9181            333460.8       
9187       9188            336788.8       
9230       9231            335062.4       
9235       9236            331672.0       
9237       9238            338633.2       
9258       9259            331547.2       
9265       9266            330944.0       
9273       9274            334625.6       
9280       9281            330944.0       
9293       9294            336040.0       
9296       9297            339160.0       
9299       9300            334667.2       
9303       9304            337891.2       
9306       9307            336372.8       
9324       9325            337121.6       
9362       9363            332332.0       
9368       9369            333440.0       
9419       9420            334854.4       
9423       9424            336528.4       
9428       9429            335894.4       
9440       9441            330049.6       
9465       9466            336352.0       
9474       9475            338244.8       
9489       9490            334667.2       
9496       9497            332524.8       
9505       9506            331734.4       
9552       9553            334729.6       
9560       9561            332587.2       
9566       9567            338806.4       
9645       9646            338369.6       
9652       9653            330652.8       
9655       9656            336892.8       
9670       9671            338390.4       
9684       9685            335956.8       
9694       9695            335998.4       
9710       9711            333315.2       
9740       9741            337059.2       
9753       9754            331235.2       
9760       9761            337433.6       
9770       9771            337392.0       
9776       9777            330257.6       
9803       9804            330361.6       
9805       9806            333356.8       
9815       9816            336081.6       
9883       9884            339638.4       
9887       9888            335208.0       
9910       9911            337246.4       
9926       9927            334979.2       
9930       9931            333356.8       
9951       9952            332316.8       
9991       9992            338140.8       
10008      10009           339076.8       
10029      10030           332358.4       
10037      10038           331276.8       
10038      10039           289966.4       
10075      10076           332628.8       
10087      10088           337745.6       
10094      10095           333544.0       

Outliers in DrivingCommuterDistance:
------------------------------------------------------------------
Index      EmployeeNumber  Value          
------------------------------------------------------------------
26         27              910            
27         28              910            
34         35              910            
35         36              910            
196        197             950            
197        198             950            
205        206             250            
208        209             250            
210        211             250            
218        219             250            
223        224             250            
231        232             250            
240        241             250            
252        253             250            
271        272             250            
287        288             250            
290        291             250            
294        295             250            
301        302             250            
305        306             250            
311        312             250            
316        317             250            
321        322             250            
345        346             250            
346        347             250            
353        354             250            
356        357             250            
388        389             250            
389        390             250            
391        392             250            
392        393             250            
395        396             250            
402        403             250            
411        412             250            
417        418             250            
434        435             250            
449        450             250            
454        455             250            
479        480             250            
671        672             250            
672        673             250            
702        703             250            
707        708             250            
709        710             250            
716        717             -125           
731        732             -125           
733        734             -125           
740        741             -125           
753        754             -125           
763        764             -125           
765        766             -125           
775        776             -125           
819        820             -125           
821        822             -125           
837        838             -125           
852        853             -125           
854        855             -125           
858        859             -125           
860        861             -125           
879        880             -125           
907        908             -125           
923        924             -125           
925        926             -125           
936        937             250            
952        953             250            
954        955             250            
962        963             250            
980        981             250            
984        985             250            
1009       1010            250            
1010       1011            -275           
1022       1023            -275           
1024       1025            -275           
1082       1083            -275           
1094       1095            -275           
1110       1111            -275           
1127       1128            -275           
1134       1135            -275           
1141       1142            -275           
1154       1155            -275           
1162       1163            -275           
1178       1179            -275           
1184       1185            -275           
1186       1187            -275           
1188       1189            -275           
1194       1195            -275           
1197       1198            -275           
1259       1260            250            
1272       1273            250            
1273       1274            250            
1297       1298            322            
1322       1323            322            
1328       1329            322            
1335       1336            322            
1340       1341            322            
1341       1342            322            
1344       1345            322            
1358       1359            322            
1368       1369            250            
1374       1375            322            
1375       1376            250            
1399       1400            322            
1402       1403            322            
1420       1421            250            
1427       1428            322            
1434       1435            322            
1435       1436            250            
1442       1443            322            
1462       1463            322            
1472       1473            322            
1482       1483            322            
1495       1496            322            
1526       1527            322            
1534       1535            322            
1535       1536            322            
1547       1548            322            
1563       1564            250            
1566       1567            250            
1570       1571            250            
1589       1590            250            
1611       1612            250            
1621       1622            250            
1626       1627            250            
1629       1630            250            
1640       1641            250            
1642       1643            250            
1652       1653            250            
1666       1667            250            
1669       1670            250            
1672       1673            250            
1679       1680            250            
1681       1682            250            
1714       1715            250            
1716       1717            250            
1733       1734            250            
1783       1784            250            
1799       1800            250            
1818       1819            250            
1819       1820            250            
1824       1825            250            
1842       1843            250            
1843       1844            250            
1875       1876            250            
1886       1887            250            
1900       1901            250            
1912       1913            250            
1925       1926            250            
1930       1931            250            
1938       1939            250            
1941       1942            250            
1958       1959            250            
1970       1971            250            
1971       1972            250            
1980       1981            250            
2005       2006            250            
2013       2014            250            
2014       2015            250            
2016       2017            250            
2032       2033            250            
2043       2044            250            
2047       2048            250            
2051       2052            250            
2080       2081            250            
2081       2082            250            
2084       2085            250            
2085       2086            250            
2087       2088            250            
2090       2091            250            
2104       2105            250            
2116       2117            250            
2117       2118            250            
2136       2137            250            
2141       2142            250            
2148       2149            250            
2184       2185            250            
2203       2204            250            
2238       2239            250            
2242       2243            250            
2276       2277            250            
2283       2284            250            
2285       2286            250            
2303       2304            250            
2304       2305            250            
2310       2311            250            
2322       2323            250            
2330       2331            250            
2405       2406            250            
2415       2416            250            
2425       2426            250            
2436       2437            250            
2479       2480            250            
2483       2484            250            
2484       2485            250            
2490       2491            250            
2492       2493            250            
2496       2497            250            
2497       2498            250            
2532       2533            250            
2550       2551            250            
2551       2552            250            
2579       2580            250            
2592       2593            250            
2600       2601            250            
2610       2611            250            
2612       2613            250            
2618       2619            250            
2626       2627            250            
2648       2649            250            
2650       2651            250            
2665       2666            250            
2702       2703            250            
2707       2708            250            
2711       2712            250            
2720       2721            250            
2766       2767            250            
2807       2808            250            
2846       2847            250            
2847       2848            250            
2891       2892            250            
3291       3292            250            
3295       3296            250            
3298       3299            250            
3304       3305            250            
3320       3321            250            
3329       3330            250            
3337       3338            250            
3383       3384            250            
3396       3397            250            
3399       3400            250            
3402       3403            250            
3421       3422            250            
3430       3431            250            
3436       3437            250            
3437       3438            250            
3450       3451            250            
3453       3454            250            
3456       3457            250            
3465       3466            250            
3481       3482            250            
3486       3487            250            
3491       3492            250            
10126      27              910            
10127      28              910            
10134      35              910            
10135      36              910            

Total Outliers: 789
